Section #,Section Name,Parameter / Check / Case,Assignment Value,Literature Value / Range,"Verified Reference (Author, Year, Source)",Deviation,Status
3,Operating Conditions,Wall temperature Twall,423 K (150 °C),408–473 K (4–15 bar steam sat.),"VDI Heat Atlas 11th ed. (2010) — steam saturation: 4 bar→417 K, 15 bar→471 K; Perry's CEnH 8th ed. Table 2-171; Assignment notebook motivates Twall by steam pressure levels",Matches 4-bar steam condensation T, Realistic
3,Operating Conditions,Wall HTC hW,500 W/(m²·K),200–2000 W/(m²·K),Incropera et al. (2011) Fund. Heat & Mass Transfer 7th ed. Table 1.1 — turbulent forced convection liquids; Perry's CEnH 8th ed. Sec. 11-10,Conservative mid-range estimate, Realistic
3,Operating Conditions,Fluid velocity u,1.0 m/s,0.5–3.0 m/s,Perry's CEnH 8th ed. Sec. 6-3 — recommended liquid velocity in process pipes; Towler & Sinnott (2013) Chemical Engineering Design 2nd ed.,Mid-range, Realistic
3,Operating Conditions,Tube diameter dR,30 mm (0.03 m),25–50 mm,Shell Catalysts & Technologies (2017) EOEG Manufacturing Technology — tube diameter range; EU BAT 2017 — multi-tube reactor specifications,Mid-range, Realistic
3,Operating Conditions,EO inlet conc. cEOin,2.27 mol/L (2270 mol/m³),2.0–4.0 mol/L (10–20 wt%),EU BAT 2017 — 10–20 wt% EO feed; Ullmann's EG (Sattler 2012) — 20:1 H₂O:EO dilution ratio; Unit check: 10 wt% EO → 100×0.1/44×1000 = 2272 mol/m³ ✓,<0.1% vs unit calculation, Confirmed
3,Operating Conditions,Reactor length L,300 m,100–500 m (industrial tube bundle),Perry's CEnH 8th ed. — tubular reactor design; Shell EOEG Manufacturing Technology (2017); τ = L/u = 300 s at u=1 m/s → realistic,Mid-range, Realistic
3,Operating Conditions,Stanton number St,0.0159,< 0.05 (near-adiabatic regime),Güttel & Turek (2021) Eq. 11.6b p.143 — St = hW·(4/dR)/(ρ·cp·u); Formula: 500×(4/0.03)/(1000×4190×1) = 0.0159 < 0.05 → near-adiabatic ✓,0%, Confirmed
4,Base Case Simulation Results,Outlet EO conversion Xout,92.6%,≥90% (non-catalytic thermal route),"Shell Catalysts & Technologies OMEGA Process (2025) — conventional non-cat. ~90%; Arrieta (2025, Scribd) — 90% MEG yield at 20:1 H₂O:EO; EU BAT 2017",+2.9% above benchmark, Consistent
4,Base Case Simulation Results,Outlet temperature Tout,426.44 K (153.3 °C),150–250 °C,EU BAT 2017 BREF Table 5.1 — industrial outlet T range; Shell EOEG Manufacturing Technology (2017),At lower end of window, Within Window
4,Base Case Simulation Results,Hot-spot temperature Tmax,437.31 K (164.2 °C),150–250 °C (operating range),EU BAT 2017 — operating temperature window; Güttel & Turek (2021) — exothermic PFR hot-spot formation theory; Shell EOEG tech (2017) — temperature control specs,Within operating window, Within Window
4,Base Case Simulation Results,Hot-spot axial location z(Tmax),98.1 m ≈ L/3.1,~L/3 of reactor length,Fogler H.S. (2016) CRE 5th ed. Ch. 12 — exothermic PFR hot-spot theory; Güttel & Turek (2021) — hot-spot position analysis,Exact physical trend, Correct Physics
4,Base Case Simulation Results,Isothermal conversion Xiso,81.3%,~81.3% (analytical lower bound),Analytical: X=1−exp(−k(Tin)·L/u) = 1−exp(−5.582e-3×300) = 81.3%; Fogler (2016) CRE 5th ed. Ch. 5 — 1st-order irreversible PFR; Numerical hW→∞ confirms to 7 sig. figs.,Exact, Confirmed
4,Base Case Simulation Results,Mass-balance residual,3.64 × 10⁻¹² mol/m³,< 10⁻⁶ mol/m³,scipy.integrate.solve_ivp — rtol=atol=1e-8; IEEE 754 machine precision ~2.2×10⁻¹⁶; Stoichiometric check: cEO+cEG=cEOin throughout reactor,10⁶× better than threshold, Pass
5,Verification Checks,V1 – Isothermal analytical limit,rel. err = 1.90 × 10⁻⁸,< 10⁻⁵,Analytical 1st-order IVP: cEO(z)=cEOin·exp(−k(Tin)·z/u); Fogler (2016) CRE 5th ed. Ch. 5; solver rtol=atol=1e-8 → result 100× within tolerance,100× better than tolerance, Pass
5,Verification Checks,V2 – Stoichiometric mass balance,3.64 × 10⁻¹² mol/m³,< 10⁻⁶ mol/m³,"Stoichiometric constraint ν(EO)=−1, ν(EG)=+1 → cEO+cEG=const; Fogler (2016) CRE Ch. 3 — atom balance; machine precision IEEE 754",10⁶× better than threshold, Pass
5,Verification Checks,V3 – Adiabatic energy balance,err = 3.41 × 10⁻¹³ K,< 10⁻³ K,Analytical first integral (adiabatic): T(z)=Tin+ΔTad·X(z); Güttel & Turek (2021) Eq. 11.6b; Fogler (2016) CRE Ch. 12,Machine precision, Pass
5,Verification Checks,V4 – Solver independence (LSODA/BDF/Radau),"All methods: Xout=0.9262, Tmax=437.31 K",Methods agree to < 10⁻⁴,"scipy.integrate.solve_ivp — LSODA, BDF, Radau; Hairer & Wanner (1996) Solving ODEs II Springer — stiff solver benchmarks; Tolerance sweep 1e-4 to 1e-10 confirms stability",All 3 methods identical, Pass
6,Parameter Variation,Adiabatic case (hW=0),"X=100%, Tmax=472.95 K",Upper limit: Tout=Tin+ΔTad=472.95 K (exact),Fogler (2016) CRE 5th ed. Ch. 12 — adiabatic PFR; Güttel & Turek (2021) Eq. 11.6b; analytical result confirmed by simulation,0.00 K error (exact), Correct
6,Parameter Variation,Isothermal case (hW→∞),"X=81.3%, T=const=423 K",Lower bound: X=1−exp(−k·τ)=81.3%,Fogler (2016) CRE 5th ed. Ch. 5 — 1st-order isothermal PFR; analytical solution confirmed by V1 check,Exact, Correct
6,Parameter Variation,"Twall=373 K (100°C, 1-bar steam)","X=27.2%, reaction suppressed",Low Twall cools fluid → suppresses Arrhenius k(T),"EU BAT 2017 — effect of low-T steam; Güttel & Turek (2021) — St number interpretation; Notebook: 'less than 30% conversion, highly inefficient'",Expected physical trend, Correct
6,Parameter Variation,"Twall=473 K (200°C, 20-bar steam)","X=100%, Tmax>500 K",High Twall → near-complete conversion,Shell OMEGA Process (2025) — 200–270°C achieves full conversion; EU BAT 2017 — higher-T steam heating; notebook section 4.2,Expected physical trend, Correct
6,Parameter Variation,u=0.5 m/s (τ doubled to 600 s),X=98.8%,Longer τ → higher X (irreversible reaction),Fogler (2016) CRE Ch. 12 — PFR space-time; Perry's CEnH 8th ed. — residence time effect; notebook section 4,Expected physical trend, Correct
6,Parameter Variation,u=2.0 m/s (τ halved to 150 s),X=75.9%,Shorter τ → lower X,Fogler (2016) CRE Ch. 12; Perry's CEnH 8th ed.; notebook section 4,Expected physical trend,✅ Correct
6,Parameter Variation,cEOin=4.0 mol/L (higher feed conc.),"X=99.5%, Tmax=445 K, β=0.234",β↑ → stronger self-heating → higher X,"Güttel & Turek (2021) Sec. 11.3 — Prater β scaling with cEOin; Arrieta (2025, Scribd) — concentration effect on conversion; notebook section 4.4",Expected physical trend, Correct
6,Parameter Variation,dR=10 mm (smaller tube),"X=94.6%, hot-spot reduced",(4/dR)↑ → stronger wall cooling per unit vol.,Güttel & Turek (2021) Eq. 11.2b — (4/dR) term in energy balance; EU BAT 2017 — small-dia. tubes for thermal control; St∝1/dR → larger St → more isothermal,Expected physical trend, Correct
6,Parameter Variation,dR=100 mm (larger tube),"X≈100%, near-adiabatic profile","(4/dR)↓ → wall exchange negligible, St→0",Güttel & Turek (2021) Eq. 11.2b; St=500×(4/0.1)/(1000×4190×1)=0.00477≈0 → near-adiabatic ✓; Fogler (2016) CRE Ch. 12,Expected physical trend, Correct
