Section,Parameter_Item,Assignment_Value,Unit,Literature_Benchmark,Source,Deviation,Status
7 - Parameter Variation,"cEO,in variation (0.5-4 mol/L)","Higher cEO,in -> higher Tmax; lower Xout at same length",-,High EO conc. increases exotherm; dilution improves selectivity (reduces DEG),Scribd/Arrieta; BAT 2017,Consistent,CORRECT
7 - Parameter Variation,PFTR vs Batch comparison (15 m^3),PFTR: higher vol. productivity; Batch: higher total output (larger vol.),-,PFTR preferred for continuous large-scale EG production (industrial practice),Shell/BAT 2017; DiGiulio 2015,Consistent,CORRECT
8 - References,Güettel & Turek (textbook),"Design equations Eq. 11.2a/b, 11.6b",-,Primary source for PFTR balance equations used in assignment,"Chemische Reaktionstechnik, Springer 2021",Direct citation,USED CORRECTLY
8 - References,Parker & Isaacs (1959),EA = 79.5 kJ/mol,kJ/mol,Spontaneous EO hydrolysis activation energy,"Can. J. Chem. 37, DOI 10.1139/v59-105",Verified,CONFIRMED
8 - References,Zheng et al. (2007),EA = 60-80 kJ/mol,kJ/mol,"DFT/B3LYP activation energies, acid/alkaline conditions","J. Phys. Chem. A, DOI 10.1021/jp073285b",Verified,CONFIRMED
8 - References,NIST WebBook,dHR = -88 to -94 kJ/mol; cp = 4.3 kJ/(kg·K),-,"Thermochemical data for EO, EG, water",NIST WebBook (webbook.nist.gov),Verified,CONFIRMED
8 - References,EU BAT Reference Doc (2017),T = 150-250°C; P = 10-40 bar; 10-20 wt% EO,-,Industrial operating conditions for EG production,European Best Available Techniques 2017,Verified,CONFIRMED
8 - References,Statista (2023),Global EG production 56.97 Mt in 2022,Mt/yr,Used in introduction for production scale motivation,Statista GlobalData May 2023,Verified,CONFIRMED
8 - References,DiGiulio (2015),Tubular reactor advantages for continuous production,-,Used for industrial relevance of PFTR discussion,ISCRE25 conference paper,Verified,CONFIRMED
8 - References,Arrieta et al. / Scribd,~90% MEG yield; 20:1 H2O:EO; dTad ~38 K @ 9 wt%,-,Industrial benchmark for comparison,Scribd/Arrieta EG plant design,Verified,CONFIRMED
8 - References,ACS IECR (2009),k1 at 358-388 K experimental,L/(mol·min),DOI 10.1021/ie901037w; extrapolated to 423 K,ACS Ind. Eng. Chem. Res. 2009,Verified,CONFIRMED
